Month,Day,Hour,Season,PV Regime,Wind Regime,Electric Load,Heat Load,Cold Load,PV,Wind,Set
1,1,0,winter,cloudy,normal,14840.914304517524,11700.968203356706,5005.856457866186,0.0,6472.53985727132,train
1,1,1,winter,cloudy,normal,14666.883878497492,11966.061320134251,4808.250909011892,0.0,6884.600807578159,train
1,1,2,winter,cloudy,normal,13902.516677238536,12387.391855641608,4800.291498991072,0.0,6544.297776054969,train
1,1,3,winter,cloudy,normal,13617.622017688343,13085.631285007961,4784.6441458215595,0.0,6843.134551773407,train
1,1,4,winter,cloudy,normal,13895.621430346757,13562.716187760056,4802.465864033073,0.0,6930.021917127479,train
1,1,5,winter,cloudy,normal,14522.600410434894,14302.203252724403,5464.228378018046,0.0,6779.646396849322,train
1,1,6,winter,cloudy,normal,15405.717050049314,14800.353134630446,5785.147937782319,0.0,6885.523938390747,train
1,1,7,winter,cloudy,normal,15513.385380384983,15388.957874562553,5885.517589471224,278.15196938182976,7067.9719527705865,train
1,1,8,winter,cloudy,normal,15848.341124698123,15307.132725262687,5960.403147583155,1431.6955850653444,6596.295248572836,train
1,1,9,winter,cloudy,normal,15998.53468053335,14178.823506572242,6499.219439971566,3797.603178467976,6144.2966334011735,train
1,1,10,winter,cloudy,normal,15970.24683175406,12635.134143492412,7518.302123317531,6089.71342930265,6501.9509696022,train
1,1,11,winter,cloudy,normal,16154.09079589547,11111.464259112956,8713.325044581603,7592.04077542646,7358.567999498517,train
1,1,12,winter,cloudy,normal,16149.847742079404,10256.977832448409,9874.215778585158,8398.435257636467,7724.050151218796,train
1,1,13,winter,cloudy,normal,15659.51873998057,9960.631188055599,10892.732508654495,7657.779232081312,7639.497261104899,train
1,1,14,winter,cloudy,normal,15763.463281139097,9994.284355139067,11468.784958285456,5577.544380010233,8128.6476842804805,train
1,1,15,winter,cloudy,normal,15560.178914226235,9874.609767498292,11687.931455640564,3868.5460566553616,8296.531679332225,train
1,1,16,winter,cloudy,normal,15942.845020340881,9898.481730106676,11850.141894889828,2136.553312872291,8114.699440714448,train
1,1,17,winter,cloudy,normal,15920.462809787496,9908.021845394302,11072.65565648735,570.0274803492887,8156.621797835172,train
1,1,18,winter,cloudy,normal,15862.831884034651,10160.802917381625,9697.313488782658,0.0,7984.784350084496,train
1,1,19,winter,cloudy,normal,15730.511098760906,10676.443326483843,8730.764144546303,0.0,7529.758397600054,train
1,1,20,winter,cloudy,normal,16012.11537825737,11098.93924554597,8039.135791870216,0.0,7271.616147389341,train
1,1,21,winter,cloudy,normal,15243.871534623193,11542.898102466886,7498.332932832302,0.0,6465.360541983226,train
1,1,22,winter,cloudy,normal,14864.886498289863,11564.726644066386,6600.805952737351,0.0,6841.602941617965,train
1,1,23,winter,cloudy,normal,14681.144854841465,11591.24989756023,5804.560492862764,0.0,6446.985524250331,train
1,2,0,winter,normal,normal,14418.938254158438,11243.171878303378,4950.868097908831,0.0,6645.7777421836845,train
1,2,1,winter,normal,normal,13898.956486408615,11319.15334170709,4744.5007952996,0.0,6850.998559681264,train
1,2,2,winter,normal,normal,13492.159881160918,11627.018417169142,4817.84216465279,0.0,6790.811904946532,train
1,2,3,winter,normal,normal,13539.543961421554,12012.783271960829,4772.858228437032,0.0,7019.853896373431,train
1,2,4,winter,normal,normal,13877.881606937237,13088.58758694462,4646.594311685903,0.0,6758.036906674735,train
